customer_id,customer_name,email,age,gender,join_date
1001,Customer_1,customer1@example.com,18,Male,2022-01-07
1002,Customer_2,customer2@example.com,21,Male,2022-04-29
1003,Customer_3,customer3@example.com,29,Male,2022-06-02
1004,Customer_4,customer4@example.com,69,Male,2022-07-31
1005,Customer_5,customer5@example.com,32,Female,2022-02-12
1006,Customer_6,customer6@example.com,19,Other,2022-10-02
1007,Customer_7,customer7@example.com,20,Male,2022-04-10
1008,Customer_8,customer8@example.com,24,Male,2022-04-12
1009,Customer_9,customer9@example.com,43,Male,2022-04-09
1010,Customer_10,customer10@example.com,41,nan,2022-09-24
1011,Customer_11,customer11@example.com,21,Male,2022-12-03
1012,Customer_12,customer12@example.com,51,nan,2022-05-19
1013,Customer_13,customer13@example.com,42,nan,2022-08-09
1014,Customer_14,customer14@example.com,45,Other,2022-01-11
1015,Customer_15,customer15@example.com,55,Female,2022-07-22
1016,Customer_16,customer16@example.com,60,nan,2022-12-08
1017,Customer_17,customer17@example.com,44,Female,2022-04-05
1018,Customer_18,customer18@example.com,50,Other,2022-01-17
1019,Customer_19,customer19@example.com,41,Male,2022-05-06
1020,Customer_20,customer20@example.com,59,nan,2022-06-25
1021,Customer_21,customer21@example.com,19,Other,2022-10-29
1022,Customer_22,customer22@example.com,36,nan,2022-09-15
1023,Customer_23,customer23@example.com,48,nan,2022-11-26
1024,Customer_24,customer24@example.com,46,Other,2022-07-25
1025,Customer_25,customer25@example.com,34,Male,2022-09-19
1026,Customer_26,customer26@example.com,61,Female,2022-01-05
1027,Customer_27,customer27@example.com,41,Female,2022-07-20
1028,Customer_28,customer28@example.com,27,Female,2022-07-14
1029,Customer_29,customer29@example.com,54,nan,2022-01-09
1030,Customer_30,customer30@example.com,69,Other,2022-07-09
1031,Customer_31,customer31@example.com,37,Other,2022-10-27
1032,Customer_32,customer32@example.com,42,Male,2022-01-12
1033,Customer_33,customer33@example.com,63,Male,2022-06-24
1034,Customer_34,customer34@example.com,40,Other,2022-07-10
1035,Customer_35,customer35@example.com,18,Male,2022-06-02
1036,Customer_36,customer36@example.com,64,Other,2022-03-15
1037,Customer_37,customer37@example.com,48,nan,2022-12-10
1038,Customer_38,customer38@example.com,32,Male,2022-05-21
1039,Customer_39,customer39@example.com,46,Other,2022-04-24
1040,Customer_40,customer40@example.com,61,Other,2022-11-24
1041,Customer_41,customer41@example.com,37,Other,2022-12-10
1042,Customer_42,customer42@example.com,40,Other,2022-06-15
1043,Customer_43,customer43@example.com,27,Other,2022-11-10
1044,Customer_44,customer44@example.com,19,Other,2022-09-24
1045,Customer_45,customer45@example.com,44,nan,2022-08-05
1046,Customer_46,customer46@example.com,18,Male,2022-03-23
1047,Customer_47,customer47@example.com,35,Male,2022-01-22
1048,Customer_48,customer48@example.com,19,Female,2022-07-24
1049,Customer_49,customer49@example.com,47,nan,2022-05-19
1050,Customer_50,customer50@example.com,61,Male,2022-02-10
1051,Customer_51,customer51@example.com,48,Male,2022-12-26
1052,Customer_52,customer52@example.com,61,Male,2022-12-12
1053,Customer_53,customer53@example.com,37,Female,2022-03-23
1054,Customer_54,customer54@example.com,40,nan,2022-05-25
1055,Customer_55,customer55@example.com,48,Female,2022-01-28
1056,Customer_56,customer56@example.com,31,Female,2022-09-17
1057,Customer_57,customer57@example.com,68,Male,2022-05-08
1058,Customer_58,customer58@example.com,24,Other,2022-11-09
1059,Customer_59,customer59@example.com,60,Other,2022-12-10
1060,Customer_60,customer60@example.com,67,nan,2022-03-07
1061,Customer_61,customer61@example.com,45,nan,2022-03-02
1062,Customer_62,customer62@example.com,18,Other,2022-10-28
1063,Customer_63,customer63@example.com,50,Female,2022-11-20
1064,Customer_64,customer64@example.com,67,Female,2022-07-24
1065,Customer_65,customer65@example.com,18,nan,2022-10-21
1066,Customer_66,customer66@example.com,48,Other,2022-07-14
1067,Customer_67,customer67@example.com,41,Other,2022-06-02
1068,Customer_68,customer68@example.com,27,Female,2022-04-09
1069,Customer_69,customer69@example.com,37,Female,2022-07-28
1070,Customer_70,customer70@example.com,40,Female,2022-05-24
1071,Customer_71,customer71@example.com,66,nan,2022-08-08
1072,Customer_72,customer72@example.com,50,Other,2022-08-26
1073,Customer_73,customer73@example.com,46,Female,2022-07-19
1074,Customer_74,customer74@example.com,48,Male,2022-08-14
1075,Customer_75,customer75@example.com,68,Other,2022-09-14
1076,Customer_76,customer76@example.com,41,Other,2022-08-26
1077,Customer_77,customer77@example.com,35,Female,2022-04-14
1078,Customer_78,customer78@example.com,33,Male,2022-06-08
1079,Customer_79,customer79@example.com,25,Other,2022-04-02
1080,Customer_80,customer80@example.com,23,Male,2022-07-10
1081,Customer_81,customer81@example.com,20,nan,2022-10-22
1082,Customer_82,customer82@example.com,34,Male,2022-10-11
1083,Customer_83,customer83@example.com,41,Other,2022-03-02
1084,Customer_84,customer84@example.com,29,nan,2022-04-18
1085,Customer_85,customer85@example.com,42,Male,2022-03-21
1086,Customer_86,customer86@example.com,46,nan,2022-03-31
1087,Customer_87,customer87@example.com,45,Female,2022-09-13
1088,Customer_88,customer88@example.com,56,Female,2022-08-16
1089,Customer_89,customer89@example.com,47,Other,2022-08-24
1090,Customer_90,customer90@example.com,41,nan,2022-10-23
1091,Customer_91,customer91@example.com,38,Female,2022-02-11
1092,Customer_92,customer92@example.com,58,Male,2022-12-15
1093,Customer_93,customer93@example.com,58,nan,2022-03-06
1094,Customer_94,customer94@example.com,63,nan,2022-05-03
1095,Customer_95,customer95@example.com,40,Other,2022-01-15
1096,Customer_96,customer96@example.com,37,Male,2022-10-02
1097,Customer_97,customer97@example.com,27,Female,2022-12-19
1098,Customer_98,customer98@example.com,27,Male,2022-04-26
1099,Customer_99,customer99@example.com,45,Female,2022-02-03
1100,Customer_100,customer100@example.com,54,nan,2022-10-11
